"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","block","n_force_rep","phase","image","action","key_action_mapping","reward_probs","condition","reward","trial","subset","available_keys"
"true","false","[]","[]","[]","preload","0","2.1.0","2","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","2.1.0","1483","1378","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.1.0","3022","1538","<p style=""text-align: center; line-height: 1.6em""><h3>Instruction 1/5</h3>In this experiment, you will see a series of images on the screen.<br/>You can respond to each image by pressing one of the following buttons on the keyboard:<br/><br/><div style=""display: flex; justify-content: center; gap: 40px;"">
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 1;
        border: 2px solid #000;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: 0 0 10px #333;
      "">
        F<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 1;
        border: 2px solid #000;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: 0 0 10px #333;
      "">
        G<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 1;
        border: 2px solid #000;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: 0 0 10px #333;
      "">
        H<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 1;
        border: 2px solid #000;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: 0 0 10px #333;
      "">
        J<br>
      </div></div></div></p></div><p class=""continue"">[Press SPACE to continue]</p>"," ","","","","","","","","","","","",""
"","","","","","html-keyboard-response","3","2.1.0","226226","223203","<p style=""text-align: center; line-height: 1.6em""><h3>Instruction 2/5</h3>Pressing a button in response to an image can give you <span style=""color:red;"">0</span> or <span style=""color:green;"">+1</span> points<br/>The probability of receiving <span style=""color:red;"">0</span> or <span style=""color:green;"">+1</span> points differs for each button and each image.<br/>Your goal is to collect as many points as possible.<br/></p></div><p class=""continue"">[Press SPACE to continue]</p>"," ","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","2.1.0","234307","8080","<p style=""text-align: center; line-height: 1.6em""><h3>Instruction 3/5</h3>Each trial will first show a fixation cross. Please focus on this.<br/>When the image is shown, you have two seconds to respond.<br/></p></div><p class=""continue"">[Press SPACE to continue]</p>"," ","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","2.1.0","237978","3669","<p style=""text-align: center; line-height: 1.6em""><h3>Instruction 4/5</h3>Not all four actions might be available to you at a given time.<br/>This will be indicated to you.</p></div><p class=""continue"">[Press SPACE to continue]</p>"," ","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","2.1.0","239084","1105","<p style=""text-align: center; line-height: 1.6em""><h3>Instruction 5/5</h3>There will be 12 images, each of which will be presented repeatedly.<br/>To respond, please use your dominant with one finger on each button at all times.<br/>You will now start the main experiment.<br/></p></div><p class=""continue"">[Press SPACE to continue]</p>"," ","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","2.1.0","243023","3937","<h3>Image 1</h3>For the next trials, only single actions will be available.</p></div><p class=""continue"">[Press SPACE to continue]</p>"," ","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","2.1.0","243526","null","
    <div style=""text-align: center;"">
      <img src=""static/images/fix_cross.jpg"" style=""width: 400px; height: 400px; margin-bottom: 30px;"">
      <div style=""display: flex; justify-content: center; gap: 40px;"">
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        F<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 1;
        border: 2px solid #000;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: 0 0 10px #333;
      "">
        G<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        H<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        J<br>
      </div></div></div>","null","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","2.1.0","244083","554","
    <div style=""text-align: center;"">
      <img src=""static/images/7.jpg"" style=""width: 400px; height: 400px; margin-bottom: 30px;"">
      <div style=""display: flex; justify-content: center; gap: 40px;"">
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        F<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 1;
        border: 2px solid #000;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: 0 0 10px #333;
      "">
        G<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        H<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        J<br>
      </div></div></div>","g","5","0","fc","7","A4","{""A1"":""h"",""A3"":""j"",""A2"":""f"",""A4"":""g""}","{""A1"":0.8,""A2"":0.2,""A3"":0.5,""A4"":0.1}","Condition 1","0","","",""
"","","","","","html-keyboard-response","10","2.1.0","245086","null","<p style='color:gray; font-size: 48px;'>0</p>","null","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","2.1.0","245590","null","
    <div style=""text-align: center;"">
      <img src=""static/images/fix_cross.jpg"" style=""width: 400px; height: 400px; margin-bottom: 30px;"">
      <div style=""display: flex; justify-content: center; gap: 40px;"">
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        F<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 1;
        border: 2px solid #000;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: 0 0 10px #333;
      "">
        G<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        H<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        J<br>
      </div></div></div>","null","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","2.1.0","245989","397","
    <div style=""text-align: center;"">
      <img src=""static/images/7.jpg"" style=""width: 400px; height: 400px; margin-bottom: 30px;"">
      <div style=""display: flex; justify-content: center; gap: 40px;"">
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        F<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 1;
        border: 2px solid #000;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: 0 0 10px #333;
      "">
        G<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        H<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        J<br>
      </div></div></div>","g","5","1","fc","7","A4","{""A1"":""h"",""A3"":""j"",""A2"":""f"",""A4"":""g""}","{""A1"":0.8,""A2"":0.2,""A3"":0.5,""A4"":0.1}","Condition 1","1","","",""
"","","","","","html-keyboard-response","13","2.1.0","246993","null","<p style='color:green; font-size: 48px;'>+1</p>","null","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","2.1.0","247497","null","
    <div style=""text-align: center;"">
      <img src=""static/images/fix_cross.jpg"" style=""width: 400px; height: 400px; margin-bottom: 30px;"">
      <div style=""display: flex; justify-content: center; gap: 40px;"">
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        F<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 1;
        border: 2px solid #000;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: 0 0 10px #333;
      "">
        G<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        H<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        J<br>
      </div></div></div>","null","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","2.1.0","247866","367","
    <div style=""text-align: center;"">
      <img src=""static/images/7.jpg"" style=""width: 400px; height: 400px; margin-bottom: 30px;"">
      <div style=""display: flex; justify-content: center; gap: 40px;"">
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        F<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 1;
        border: 2px solid #000;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: 0 0 10px #333;
      "">
        G<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        H<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        J<br>
      </div></div></div>","g","5","2","fc","7","A4","{""A1"":""h"",""A3"":""j"",""A2"":""f"",""A4"":""g""}","{""A1"":0.8,""A2"":0.2,""A3"":0.5,""A4"":0.1}","Condition 1","0","","",""
"","","","","","html-keyboard-response","16","2.1.0","248868","null","<p style='color:gray; font-size: 48px;'>0</p>","null","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","2.1.0","249373","null","
    <div style=""text-align: center;"">
      <img src=""static/images/fix_cross.jpg"" style=""width: 400px; height: 400px; margin-bottom: 30px;"">
      <div style=""display: flex; justify-content: center; gap: 40px;"">
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        F<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 1;
        border: 2px solid #000;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: 0 0 10px #333;
      "">
        G<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        H<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        J<br>
      </div></div></div>","null","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","2.1.0","249681","306","
    <div style=""text-align: center;"">
      <img src=""static/images/7.jpg"" style=""width: 400px; height: 400px; margin-bottom: 30px;"">
      <div style=""display: flex; justify-content: center; gap: 40px;"">
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        F<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 1;
        border: 2px solid #000;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: 0 0 10px #333;
      "">
        G<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        H<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        J<br>
      </div></div></div>","g","5","3","fc","7","A4","{""A1"":""h"",""A3"":""j"",""A2"":""f"",""A4"":""g""}","{""A1"":0.8,""A2"":0.2,""A3"":0.5,""A4"":0.1}","Condition 1","0","","",""
"","","","","","html-keyboard-response","19","2.1.0","250684","null","<p style='color:gray; font-size: 48px;'>0</p>","null","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","2.1.0","251187","null","
    <div style=""text-align: center;"">
      <img src=""static/images/fix_cross.jpg"" style=""width: 400px; height: 400px; margin-bottom: 30px;"">
      <div style=""display: flex; justify-content: center; gap: 40px;"">
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        F<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 1;
        border: 2px solid #000;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: 0 0 10px #333;
      "">
        G<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        H<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        J<br>
      </div></div></div>","null","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","2.1.0","252226","1037","
    <div style=""text-align: center;"">
      <img src=""static/images/7.jpg"" style=""width: 400px; height: 400px; margin-bottom: 30px;"">
      <div style=""display: flex; justify-content: center; gap: 40px;"">
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        F<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 1;
        border: 2px solid #000;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: 0 0 10px #333;
      "">
        G<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        H<br>
      </div>
      <div style=""
        text-align: center;
        font-size: 24px;
        opacity: 0.3;
        border: 2px solid #999;
        border-radius: 8px;
        padding: 20px 15px;
        width: 60px;
        box-shadow: none;
      "">
        J<br>
      </div></div></div>","g","5","4","fc","7","A4","{""A1"":""h"",""A3"":""j"",""A2"":""f"",""A4"":""g""}","{""A1"":0.8,""A2"":0.2,""A3"":0.5,""A4"":0.1}","Condition 1","0","","",""
"","","","","","html-keyboard-response","22","2.1.0","253229","null","<p style='color:gray; font-size: 48px;'>0</p>","null","","","","","","","","","","","",""
